江苏省农产品价格信息报送系统,江苏凌家塘农副产品批发市场,2017年06月21日,豆油,6.70
江苏省农产品价格信息报送系统,江苏凌家塘农副产品批发市场,2017年06月21日,大白菜,1.20
江苏省农产品价格信息报送系统,江苏凌家塘农副产品批发市场,2017年06月21日,西红柿,3.20
江苏省农产品价格信息报送系统,江苏凌家塘农副产品批发市场,2017年06月21日,黄瓜,1.80
江苏省农产品价格信息报送系统,江苏凌家塘农副产品批发市场,2017年06月21日,青椒,4.00
江苏省农产品价格信息报送系统,江苏凌家塘农副产品批发市场,2017年06月21日,土豆,1.60
江苏省农产品价格信息报送系统,江苏凌家塘农副产品批发市场,2017年06月21日,蒜头,7.00
江苏省农产品价格信息报送系统,江苏凌家塘农副产品批发市场,2017年06月21日,茄子,2.00
江苏省农产品价格信息报送系统,江苏凌家塘农副产品批发市场,2017年06月21日,白条鸡,9.60
江苏省农产品价格信息报送系统,江苏凌家塘农副产品批发市场,2017年06月21日,鸡蛋,6.80
江苏省农产品价格信息报送系统,江苏凌家塘农副产品批发市场,2017年06月21日,东北大米,5.68
江苏省农产品价格信息报送系统,江苏凌家塘农副产品批发市场,2017年06月21日,青菜,3.00
江苏省农产品价格信息报送系统,江苏凌家塘农副产品批发市场,2017年06月21日,平菇,6.00
江苏省农产品价格信息报送系统,江苏凌家塘农副产品批发市场,2017年06月21日,江苏大米,4.30
江苏省农产品价格信息报送系统,江苏凌家塘农副产品批发市场,2017年06月21日,白条猪肉,20.00
江苏省农产品价格信息报送系统,无锡天鹏食品城,2017年06月21日,白条猪肉,17.73
江苏省农产品价格信息报送系统,无锡天鹏食品城,2017年06月21日,牛肉,60.00
江苏省农产品价格信息报送系统,无锡天鹏食品城,2017年06月21日,羊肉,36.00
江苏省农产品价格信息报送系统,无锡天鹏食品城,2017年06月21日,毛猪,14.90
江苏省农产品价格信息报送系统,无锡天鹏食品城,2017年06月21日,红条肉,22.08
江苏省农产品价格信息报送系统,镇江农副产品批发市场,2017年06月21日,大豆,4.80
江苏省农产品价格信息报送系统,镇江农副产品批发市场,2017年06月21日,芹菜,2.50
江苏省农产品价格信息报送系统,镇江农副产品批发市场,2017年06月21日,白萝卜,1.10
江苏省农产品价格信息报送系统,镇江农副产品批发市场,2017年06月21日,韭菜,2.30
江苏省农产品价格信息报送系统,镇江农副产品批发市场,2017年06月21日,菠菜,9.00
江苏省农产品价格信息报送系统,镇江农副产品批发市场,2017年06月21日,冬瓜,1.90
江苏省农产品价格信息报送系统,镇江农副产品批发市场,2017年06月21日,丝瓜,4.00
江苏省农产品价格信息报送系统,镇江农副产品批发市场,2017年06月21日,生姜,5.00
江苏省农产品价格信息报送系统,镇江农副产品批发市场,2017年06月21日,活鸭,20.50
江苏省农产品价格信息报送系统,镇江农副产品批发市场,2017年06月21日,富士苹果,7.60
